view,prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__adam__amsgrad,optimizer__adadelta__rho,optimizer__adagrad__lr_decay,optimizer__rmsprop__momentum,score
ecfp,8421,1024,"[425, 4419, 852]",5,0.012310987833775563,32,512,512,adadelta,0.00011763005928584668,0.00024583848490345925,True,0.2354578062049503,False,0.02006880442541538,0.0022389989656563525,0.038106467215493586,-0.39489167679866444
ecfp,8421,1024,"[425, 4419, 852]",5,0.012310987833775563,32,512,512,adadelta,0.00011763005928584668,0.00024583848490345925,True,0.2354578062049503,False,0.02006880442541538,0.0022389989656563525,0.038106467215493586,-0.3896194028083422
ecfp,8421,1024,"[4841, 1094, 3892]",5,0.3714861760342479,256,512,512,adam,0.03929801163744233,0.10307768675092434,False,0.26224999011932465,True,0.00023069874056449066,0.0029274819239000485,0.14920201001779584,-0.3870601469762738
ecfp,8421,1024,"[425, 4419, 852]",5,0.012310987833775563,32,512,512,adadelta,0.00011763005928584668,0.00024583848490345925,True,0.2354578062049503,False,0.02006880442541538,0.0022389989656563525,0.038106467215493586,-0.37997211061827396
ecfp,8421,1024,"[425, 4419, 852]",5,0.012310987833775563,32,512,512,adadelta,0.00011763005928584668,0.00024583848490345925,True,0.2354578062049503,False,0.02006880442541538,0.0022389989656563525,0.038106467215493586,-0.37568433509325266
ecfp,8421,1024,"[1607, 3232]",5,0.07379478570626964,512,512,512,adadelta,0.005236393080363503,0.00013062591498172243,True,0.07819149624209407,False,0.020590863414031074,0.00010646116598032043,0.010902241920338611,-0.3676255761805622
ecfp,8421,1024,"[4841, 1094, 3892]",5,0.3714861760342479,256,512,512,adam,0.03929801163744233,0.10307768675092434,False,0.26224999011932465,True,0.00023069874056449066,0.0029274819239000485,0.14920201001779584,-0.3643990995229748
ecfp,8421,1024,"[1607, 3232]",5,0.07379478570626964,512,512,512,adadelta,0.005236393080363503,0.00013062591498172243,True,0.07819149624209407,False,0.020590863414031074,0.00010646116598032043,0.010902241920338611,-0.3551806578918699
ecfp,8421,1024,"[1607, 3232]",5,0.07379478570626964,512,512,512,adadelta,0.005236393080363503,0.00013062591498172243,True,0.07819149624209407,False,0.020590863414031074,0.00010646116598032043,0.010902241920338611,-0.3533619638509292
ecfp,8421,1024,"[1607, 3232]",5,0.07379478570626964,512,512,512,adadelta,0.005236393080363503,0.00013062591498172243,True,0.07819149624209407,False,0.020590863414031074,0.00010646116598032043,0.010902241920338611,-0.34896456459144887
ecfp,8421,1024,"[425, 4419, 852]",5,0.012310987833775563,32,512,512,adadelta,0.00011763005928584668,0.00024583848490345925,True,0.2354578062049503,False,0.02006880442541538,0.0022389989656563525,0.038106467215493586,-0.3361618244458771
ecfp,8421,1024,"[1607, 3232]",5,0.07379478570626964,512,512,512,adadelta,0.005236393080363503,0.00013062591498172243,True,0.07819149624209407,False,0.020590863414031074,0.00010646116598032043,0.010902241920338611,-0.3272548713618699
ecfp,8421,1024,"[4841, 1094, 3892]",5,0.3714861760342479,256,512,512,adam,0.03929801163744233,0.10307768675092434,False,0.26224999011932465,True,0.00023069874056449066,0.0029274819239000485,0.14920201001779584,-0.3156449004011082
ecfp,8421,1024,"[1800, 1871, 681]",5,0.050384026212431314,128,512,512,adamax,0.3426112534899129,0.003059088601938254,True,0.0004676997150586199,False,0.0004184411890450739,0.002648740470017262,0.6527951968696397,-0.30490899406844363
ecfp,8421,1024,"[3821, 2537]",5,0.07359299513021089,32,512,512,adadelta,0.0571594479703744,0.3002459509838161,True,0.006714159707109242,True,0.22295190518491748,0.0012079769807718992,0.013190098683738643,-0.3036732875290825
ecfp,8421,1024,"[1800, 1871, 681]",5,0.050384026212431314,128,512,512,adamax,0.3426112534899129,0.003059088601938254,True,0.0004676997150586199,False,0.0004184411890450739,0.002648740470017262,0.6527951968696397,-0.30158110172352803
ecfp,8421,1024,"[1800, 1871, 681]",5,0.050384026212431314,128,512,512,adamax,0.3426112534899129,0.003059088601938254,True,0.0004676997150586199,False,0.0004184411890450739,0.002648740470017262,0.6527951968696397,-0.29542069405246696
ecfp,8421,1024,"[3821, 2537]",5,0.07359299513021089,32,512,512,adadelta,0.0571594479703744,0.3002459509838161,True,0.006714159707109242,True,0.22295190518491748,0.0012079769807718992,0.013190098683738643,-0.2873695005649732
ecfp,8421,1024,"[1800, 1871, 681]",5,0.050384026212431314,128,512,512,adamax,0.3426112534899129,0.003059088601938254,True,0.0004676997150586199,False,0.0004184411890450739,0.002648740470017262,0.6527951968696397,-0.2738898682343865
ecfp,8421,1024,"[1800, 1871, 681]",5,0.050384026212431314,128,512,512,adamax,0.3426112534899129,0.003059088601938254,True,0.0004676997150586199,False,0.0004184411890450739,0.002648740470017262,0.6527951968696397,-0.27131367678879315
ecfp,8421,1024,"[3821, 2537]",5,0.07359299513021089,32,512,512,adadelta,0.0571594479703744,0.3002459509838161,True,0.006714159707109242,True,0.22295190518491748,0.0012079769807718992,0.013190098683738643,-0.26608888084967663
ecfp,8421,1024,"[3821, 2537]",5,0.07359299513021089,32,512,512,adadelta,0.0571594479703744,0.3002459509838161,True,0.006714159707109242,True,0.22295190518491748,0.0012079769807718992,0.013190098683738643,-0.25219322930707233
ecfp,8421,1024,"[3821, 2537]",5,0.07359299513021089,32,512,512,adadelta,0.0571594479703744,0.3002459509838161,True,0.006714159707109242,True,0.22295190518491748,0.0012079769807718992,0.013190098683738643,-0.24146253238513174
ecfp,8421,1024,"[2667, 4432, 2179]",5,0.27981866239622766,32,512,512,adamax,0.00011279239075596563,0.035697306318359275,True,0.0006144005547793461,False,0.002918196944857465,0.00017195600882627916,0.004767353777099809,-0.23329105545663106
ecfp,8421,1024,"[2667, 4432, 2179]",5,0.27981866239622766,32,512,512,adamax,0.00011279239075596563,0.035697306318359275,True,0.0006144005547793461,False,0.002918196944857465,0.00017195600882627916,0.004767353777099809,-0.21476024632372828
ecfp,8421,1024,"[2667, 4432, 2179]",5,0.27981866239622766,32,512,512,adamax,0.00011279239075596563,0.035697306318359275,True,0.0006144005547793461,False,0.002918196944857465,0.00017195600882627916,0.004767353777099809,-0.21073495051517308
ecfp,8421,1024,"[2667, 4432, 2179]",5,0.27981866239622766,32,512,512,adamax,0.00011279239075596563,0.035697306318359275,True,0.0006144005547793461,False,0.002918196944857465,0.00017195600882627916,0.004767353777099809,-0.20483149143635804
ecfp,8421,1024,"[320, 1979, 1962]",5,0.3055480738759473,32,512,512,adadelta,0.0001754520064102077,0.0084630905657755,False,0.0020090764971192688,True,0.000190566563775159,0.21140422112684476,0.007523388120236453,-0.19936653480986571
