prot_dim,comp_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__sgd__weight_decay,optimizer__sgd__nesterov,optimizer__sgd__momentum,optimizer__sgd__lr,optimizer__adam__weight_decay,optimizer__adam__lr,optimizer__adam__amsgrad,optimizer__adadelta__lr,optimizer__adadelta__weight_decay,optimizer__adadelta__rho,optimizer__adagrad__lr,optimizer__adagrad__lr_decay,optimizer__adagrad__weight_decay,optimizer__adamax__lr,optimizer__adamax__weight_decay,optimizer__rmsprop__lr,optimizer__rmsprop__weight_decay,optimizer__rmsprop__momentum,optimizer__rmsprop__centered,score
8421,1024,[4688],5,0.02414326641942306,32,512,512,sgd,0.3280450400499545,False,0.2622389867049368,0.0025322279336959094,0.3666759016323028,0.007277580861501573,True,0.001553195575196765,0.0010770180792047488,0.003288382056851059,0.0010108617445299586,0.49841939188053674,0.2320091574174245,0.08584529904105552,0.009663658695462487,0.0036941106710910426,0.015806041076928398,0.4354698936802311,True,-0.21342165732779103
8421,1024,[4005],4,0.04929581369839221,64,512,512,rmsprop,0.0002588064751253935,True,0.3063420540786834,0.636940708756778,0.024479169706457807,0.0003487287924070282,False,0.0023402215398566485,0.00017958813047182969,0.030304344709515686,0.0010562861149240612,0.08383232605685279,0.0019219144041562168,0.0014729697979574536,0.03450049775008232,0.031174908879075303,0.9033804248815088,0.016638013856734885,False,-0.5677166147026953
8421,1024,[2600],6,0.3250754542979602,64,512,512,adagrad,0.14602419487104906,True,0.02083421962257073,0.0011436182402618901,0.0005346715649343127,0.0012328615480722783,True,0.2520019612845345,0.0008135590634409471,0.17268383423500022,0.40096920995288526,0.0002474082087311591,0.00404626808369648,0.19681286562377429,0.0028520399197988506,0.04662372237072837,0.27153573130476666,0.0006339545731546228,False,-0.4186221456348947
8421,1024,"[1752, 4260]",7,0.010628869768134383,512,512,512,sgd,0.0007293872032593982,True,0.10350957159474843,0.0014503174239915526,0.09944768777420933,0.010291226612255086,False,0.0011644487276463102,0.016449637384534564,0.0007311436934774519,0.017236055698940433,0.034212662848608875,0.05662344603511055,0.4593311385205375,0.0013802559555990029,0.28256151029706866,0.6982737935038258,0.11763680958869897,False,-0.0638737724551723
8421,1024,[4172],7,0.9689151622064059,512,512,512,rmsprop,0.5655649974719877,False,0.0042598175528192886,0.2893050483467992,0.5193649216202154,0.41905655811707176,True,0.10670027118244674,0.30033967917957316,0.003993710513174033,0.008800112334242837,0.07478830830986383,0.0023307839517618233,0.0007742217282888493,0.00012067608067978182,0.01216606463877523,0.022287499223218578,0.06781084808565419,False,-0.4814708542529108
8421,1024,"[3317, 899]",4,0.1501126177415803,64,512,512,adadelta,0.0002750915214237801,False,0.0001158151455146098,0.04520282592679091,0.0020981631744999758,0.006395694316546304,True,0.00015974497004356587,0.004300782916637221,0.0007946999866563259,0.0022803033826665556,0.0499368270219147,0.6728511778785234,0.014420030689065036,0.00019612567258004928,0.1854797306346572,0.000576811715819426,0.00016859374629327978,False,-0.3834798260536906
8421,1024,[4744],6,0.03707763390383493,512,512,512,adadelta,0.0005724159560447013,False,0.000487256735199448,0.05063942907106728,0.06005903433360801,0.00286301995796938,False,0.003062397500135653,0.003280094530093412,0.027939648755880377,0.00010515084031262904,0.00016034811376094927,0.3024292918975746,0.003904070742671337,0.008861801458635162,0.0028994882387276023,0.17507919084842885,0.48536529553562185,True,-0.1518327206520831
8421,1024,"[3503, 2703]",7,0.0637229234736122,512,512,512,rmsprop,0.0846358508603767,True,0.015222049503420793,0.0026810951112164016,0.0034747534969862227,0.012938878064009411,True,0.044933728371081484,0.0002563190154994445,0.012938027624489673,0.7606497287818913,0.00847492445429554,0.5222884186687157,0.00021815204491637145,0.04928776903167454,0.16562159890344189,0.05594353800818081,0.0001565999789860309,True,-41.24491884475115
8421,1024,[1593],6,0.09901414688237607,32,512,512,adamax,0.00030774207604677723,True,0.15856454231542297,0.009883488893142426,0.0022618176246227057,0.005306897221067295,False,0.000698261457009101,0.7619041744464571,0.0146018003547353,0.017735045978063274,0.5384214547486158,0.1963012434420563,0.0005495865936429886,0.004586015998373801,0.13316306476223694,0.01466858194025051,0.00038152708642917604,False,0.016916246486535808
8421,1024,"[1115, 261, 1116, 4292]",6,0.48949211968913536,32,512,512,adagrad,0.17977110419247938,False,0.001079742808411448,0.051566949291355704,0.015120578750793102,0.002311090468408457,False,0.00023164573550506405,0.256844235932239,0.000572037128304999,0.0015134533382017616,0.013592742999857065,0.029739575047955314,0.4232936234936612,0.08204700801798408,0.00026238906953437015,0.003557974265464896,0.0003139564924037974,False,-0.3562613806178505
